BZ_id,BZ_title,TMI_id,TMI_title,ATU_id,ATU_title,atu_tmi_title_sim,atu_tmi_doc_sim,missing_links
D2,Woman gives birth to the fire,T556,Woman Gives Birth To A Demon,299,The Mountain Gives Birth to a Mouse,0.558,0.369,BZ-TMI BZ-ATU ATU-TMI
D2,Woman gives birth to the fire,T554.8.1,Woman Gives Birth To Toad,299,The Mountain Gives Birth to a Mouse,0.549,0.367,BZ-TMI BZ-ATU ATU-TMI
D2,Woman gives birth to the fire,A1234.4,Earth Gives Birth To Woman,299,The Mountain Gives Birth to a Mouse,0.539,0.358,BZ-TMI BZ-ATU ATU-TMI
B105,She daughter-in-law is transformed,C173,Daughter-In-Law Tabu,903C*,Mother-in-law and Daughter-in-law,0.534,0.401,BZ-TMI BZ-ATU ATU-TMI
D2,Woman gives birth to the fire,T555.1.1,Woman Gives Birth To Pumpkin,299,The Mountain Gives Birth to a Mouse,0.531,0.353,BZ-TMI BZ-ATU ATU-TMI
B105,She daughter-in-law is transformed,J1111.3,Clever Daughter-In-Law,903C*,Mother-in-law and Daughter-in-law,0.518,0.390,BZ-TMI BZ-ATU ATU-TMI
D1A,Mother-in-law is the Fire,C171,Mother-In-Law Tabu,903C*,Mother-in-law and Daughter-in-law,0.518,0.381,BZ-TMI BZ-ATU ATU-TMI
B105,She daughter-in-law is transformed,K2214.2,Treacherous Daughter-In-Law,903C*,Mother-in-law and Daughter-in-law,0.513,0.346,BZ-TMI BZ-ATU ATU-TMI
D1A,Mother-in-law is the Fire,S51,Cruel Mother-In-Law,903C*,Mother-in-law and Daughter-in-law,0.503,0.331,BZ-TMI BZ-ATU ATU-TMI
B105,She daughter-in-law is transformed,G79.2,Woman Eats Daughter-In-Law,903C*,Mother-in-law and Daughter-in-law,0.499,0.348,BZ-TMI BZ-ATU ATU-TMI
D1A,Mother-in-law is the Fire,T417.1,Mother-In-Law Seduces Son-In-Law,903C*,Mother-in-law and Daughter-in-law,0.492,0.404,BZ-TMI BZ-ATU ATU-TMI
D1A,Mother-in-law is the Fire,T417,Son-In-Law Seduces Mother-In-Law,903C*,Mother-in-law and Daughter-in-law,0.492,0.306,BZ-TMI BZ-ATU ATU-TMI
D2,Woman gives birth to the fire,T554.11,Supernaturally Impregnated Woman Gives Birth To Dragon,299,The Mountain Gives Birth to a Mouse,0.433,0.324,BZ-TMI BZ-ATU ATU-TMI
D1A,Mother-in-law is the Fire,N365.4,Man Unwittingly Lies With Mother-In-Law,903C*,Mother-in-law and Daughter-in-law,0.401,0.271,BZ-TMI BZ-ATU ATU-TMI
